"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46104","test_login","tests","2026-01-25","passed","2026-01-25","","test_login_page","",""
"","833","test_transfer_successfully","tests","2026-01-25","passed","2026-01-25","","test_transfer_page","",""
"","21770","test_registr","tests","2026-01-25","broken","2026-01-25","","test_registr_page","",""
"","1342","test_transfer_by_account_success","tests","2026-01-25","passed","2026-01-25","","test_transfer_by_account_success","",""
